ExperimentNumber,WorkloadNumber,     Id,J,UserClass,Policy,CloudDeploymentModel,  Deadline,    Budget,ExecutionTime,      Cost,IsDeadlineViolated,IsBudgetViolated,NumberOfVMs,LogMessage
               1,             3,     93,J={9-2},     GOLD,BTCost,              Hybrid,    150.00,      2.50,        -1.00,     -1.00,YES! FAILED TO RUN,YES! FAILED TO RUN,          0,Force To Exit
               1,             3,     94,J={9-2},     GOLD,BTCost,              Hybrid,    160.00,      2.50,       156.40,      0.00,No (3.599999999976717 seconds) earlier,No ($2.5) savings,          9,Force To Exit
               1,             3,     95,J={9-2},     GOLD,BTCost,              Hybrid,    170.00,      2.50,       166.40,      0.00,No (3.599999999976717 seconds) earlier,No ($2.5) savings,          9,Force To Exit
               1,             3,     96,J={9-2},     GOLD,BTCost,              Hybrid,    180.00,      2.50,       166.40,      0.00,No (13.599999999976717 seconds) earlier,No ($2.5) savings,          9,Force To Exit
               1,             3,     97,J={9-2},     GOLD,BTCost,              Hybrid,    190.00,      2.50,       166.40,      0.00,No (23.599999999976717 seconds) earlier,No ($2.5) savings,          9,Force To Exit
               1,             3,     98,J={9-2},     GOLD,BTCost,              Hybrid,    200.00,      2.50,       166.40,      0.00,No (33.59999999997672 seconds) earlier,No ($2.5) savings,          9,Force To Exit
               1,             3,     99,J={9-2},     GOLD,BTCost,              Hybrid,    210.00,      2.50,       166.40,      0.00,No (43.60000000009313 seconds) earlier,No ($2.5) savings,          9,Force To Exit
               1,             3,    100,J={9-2},     GOLD,BTCost,              Hybrid,    220.00,      2.50,        -1.00,     -1.00,YES! FAILED TO RUN,YES! FAILED TO RUN,          0,Force To Exit
               1,             3,    101,J={9-2},     GOLD,BTCost,              Hybrid,    230.00,      2.50,        -1.00,     -1.00,YES! FAILED TO RUN,YES! FAILED TO RUN,          0,Force To Exit
               1,             3,    102,J={9-2},     GOLD,BTCost,              Hybrid,    240.00,      2.50,        -1.00,     -1.00,YES! FAILED TO RUN,YES! FAILED TO RUN,          0,Force To Exit
               1,             3,    103,J={9-2},     GOLD,BTCost,              Hybrid,    250.00,      2.50,        -1.00,     -1.00,YES! FAILED TO RUN,YES! FAILED TO RUN,          0,Force To Exit
               1,             3,    104,J={9-2},     GOLD,BTCost,              Hybrid,    260.00,      2.50,        -1.00,     -1.00,YES! FAILED TO RUN,YES! FAILED TO RUN,          0,Force To Exit
               1,             3,    105,J={9-2},     GOLD,BTCost,              Hybrid,    270.00,      2.50,       256.40,      0.00,No (13.600000000093132 seconds) earlier,No ($2.5) savings,          5,By Cost Tree
               1,             3,    106,J={9-2},     GOLD,BTCost,              Hybrid,    280.00,      2.50,       266.40,      0.00,No (13.600000000093132 seconds) earlier,No ($2.5) savings,          5,By Cost Tree
               1,             3,    107,J={9-2},     GOLD,BTCost,              Hybrid,    290.00,      2.50,       266.40,      0.00,No (23.600000000093132 seconds) earlier,No ($2.5) savings,          5,By Cost Tree
               1,             3,    108,J={9-2},     GOLD,BTCost,              Hybrid,    300.00,      2.50,       266.40,      0.00,No (33.60000000009313 seconds) earlier,No ($2.5) savings,          5,By Cost Tree
               1,             3,    109,J={9-2},     GOLD,BTCost,              Hybrid,    310.00,      2.50,       266.40,      0.00,No (43.60000000009313 seconds) earlier,No ($2.5) savings,          5,By Cost Tree
               1,             4,    164,J={9-2},     GOLD,BTCostPerf,              Hybrid,    120.00,      2.50,        72.29,      2.50,No (47.71111111110076 seconds) earlier,No ($0.0) savings,          2,By Performance Tree | Forced to accept a solution
               1,             4,    165,J={9-2},     GOLD,BTCostPerf,              Hybrid,    130.00,      2.50,        80.32,      2.50,No (49.679999999993015 seconds) earlier,No ($0.0) savings,          2,By Performance Tree | Forced to accept a solution
               1,             4,    166,J={9-2},     GOLD,BTCostPerf,              Hybrid,    140.00,      2.50,        81.12,      2.50,No (58.88000000000466 seconds) earlier,No ($0.0) savings,          2,By Performance Tree | Forced to accept a solution
               1,             4,    167,J={9-2},     GOLD,BTCostPerf,              Hybrid,    150.00,      2.50,       966.40,      0.00,YES! (816.4000000000233 seconds) over deadline,No ($2.5) savings,          1,By Performance Tree | Forced to accept a solution
               1,             4,    168,J={9-2},     GOLD,BTCostPerf,              Hybrid,    160.00,      2.50,       156.40,      0.00,No (3.599999999976717 seconds) earlier,No ($2.5) savings,          9,By Performance Tree | Forced to accept a solution
               1,             4,    169,J={9-2},     GOLD,BTCostPerf,              Hybrid,    170.00,      2.50,       166.40,      0.00,No (3.599999999976717 seconds) earlier,No ($2.5) savings,          9,By Performance Tree | Forced to accept a solution
               1,             4,    170,J={9-2},     GOLD,BTCostPerf,              Hybrid,    180.00,      2.50,       166.40,      0.00,No (13.599999999976717 seconds) earlier,No ($2.5) savings,          9,By Performance Tree | Forced to accept a solution
               1,             4,    171,J={9-2},     GOLD,BTCostPerf,              Hybrid,    190.00,      2.50,       166.40,      0.00,No (23.599999999976717 seconds) earlier,No ($2.5) savings,          9,By Performance Tree | Forced to accept a solution
               1,             4,    172,J={9-2},     GOLD,BTCostPerf,              Hybrid,    200.00,      2.50,       166.40,      0.00,No (33.59999999997672 seconds) earlier,No ($2.5) savings,          9,By Performance Tree | Forced to accept a solution
               1,             4,    173,J={9-2},     GOLD,BTCostPerf,              Hybrid,    210.00,      2.50,       166.40,      0.00,No (43.60000000009313 seconds) earlier,No ($2.5) savings,          9,By Performance Tree | Forced to accept a solution
               1,             4,    174,J={9-2},     GOLD,BTCostPerf,              Hybrid,    220.00,      2.50,       966.40,      0.00,YES! (746.3999999999069 seconds) over deadline,No ($2.5) savings,          1,By Performance Tree | Forced to accept a solution
               1,             4,    175,J={9-2},     GOLD,BTCostPerf,              Hybrid,    230.00,      2.50,       966.40,      0.00,YES! (736.3999999999069 seconds) over deadline,No ($2.5) savings,          1,By Performance Tree | Forced to accept a solution
               1,             4,    176,J={9-2},     GOLD,BTCostPerf,              Hybrid,    240.00,      2.50,       966.40,      0.00,YES! (726.3999999999069 seconds) over deadline,No ($2.5) savings,          1,By Performance Tree | Forced to accept a solution
               1,             4,    177,J={9-2},     GOLD,BTCostPerf,              Hybrid,    250.00,      2.50,       966.40,      0.00,YES! (716.3999999999069 seconds) over deadline,No ($2.5) savings,          1,By Performance Tree | Forced to accept a solution
               1,             4,    178,J={9-2},     GOLD,BTCostPerf,              Hybrid,    260.00,      2.50,       966.40,      0.00,YES! (706.3999999999069 seconds) over deadline,No ($2.5) savings,          1,By Performance Tree | Forced to accept a solution
               1,             4,    179,J={9-2},     GOLD,BTCostPerf,              Hybrid,    270.00,      2.50,       256.40,      0.00,No (13.600000000093132 seconds) earlier,No ($2.5) savings,          5,By Performance Tree | By Cost Tree
               1,             4,    180,J={9-2},     GOLD,BTCostPerf,              Hybrid,    280.00,      2.50,       266.40,      0.00,No (13.600000000093132 seconds) earlier,No ($2.5) savings,          5,By Performance Tree | By Cost Tree
               1,             4,    181,J={9-2},     GOLD,BTCostPerf,              Hybrid,    290.00,      2.50,       266.40,      0.00,No (23.600000000093132 seconds) earlier,No ($2.5) savings,          5,By Performance Tree | By Cost Tree
               1,             4,    182,J={9-2},     GOLD,BTCostPerf,              Hybrid,    300.00,      2.50,       266.40,      0.00,No (33.60000000009313 seconds) earlier,No ($2.5) savings,          5,By Performance Tree | By Cost Tree
               1,             4,    183,J={9-2},     GOLD,BTCostPerf,              Hybrid,    310.00,      2.50,       266.40,      0.00,No (43.60000000009313 seconds) earlier,No ($2.5) savings,          5,By Performance Tree | By Cost Tree
               1,             5,    267,J={9-2},     GOLD,BTMultiCost,              Hybrid,    120.00,      2.50,       118.10,      0.50,No (1.8999999999941792 seconds) earlier,No ($2.0) savings,         10,By Performance Tree | No Solution! | By Cost Tree
               1,             5,    268,J={9-2},     GOLD,BTMultiCost,              Hybrid,    130.00,      2.50,       118.10,      0.50,No (11.900000000023283 seconds) earlier,No ($2.0) savings,         10,By Performance Tree | No Solution! | By Cost Tree
               1,             5,    269,J={9-2},     GOLD,BTMultiCost,              Hybrid,    140.00,      2.50,       118.10,      0.50,No (21.900000000023283 seconds) earlier,No ($2.0) savings,         10,By Performance Tree | No Solution! | By Cost Tree
               1,             5,    270,J={9-2},     GOLD,BTMultiCost,              Hybrid,    150.00,      2.50,       118.10,      0.50,No (31.900000000023283 seconds) earlier,No ($2.0) savings,         10,By Performance Tree | No Solution! | By Cost Tree
               1,             5,    271,J={9-2},     GOLD,BTMultiCost,              Hybrid,    160.00,      2.50,       156.40,      0.00,No (3.599999999976717 seconds) earlier,No ($2.5) savings,          9,By Performance Tree | No Solution! | By Cost Tree
               1,             5,    272,J={9-2},     GOLD,BTMultiCost,              Hybrid,    170.00,      2.50,       166.40,      0.00,No (3.599999999976717 seconds) earlier,No ($2.5) savings,          9,By Performance Tree | No Solution! | By Cost Tree
